
########## Evaluation Against Random - Episode 0 ##########
Timestep: 0 Average reward against random is -0.876

########## Evaluation Against Random - Episode 5000 ##########
Timestep: 401298 Average reward against random is 2.285

########## Evaluation Against Random - Episode 10000 ##########
Timestep: 803785 Average reward against random is 2.156

########## Evaluation Against Random - Episode 15000 ##########
Timestep: 1206155 Average reward against random is 2.276

########## Evaluation Against Random - Episode 20000 ##########
Timestep: 1609502 Average reward against random is 2.438

########## Evaluation Against Random - Episode 25000 ##########
Timestep: 2011413 Average reward against random is 1.925

########## Evaluation Against Random - Episode 30000 ##########
Timestep: 2413682 Average reward against random is 2.252

########## Evaluation Against Random - Episode 35000 ##########
Timestep: 2816505 Average reward against random is 2.188

########## Evaluation Against Random - Episode 40000 ##########
Timestep: 3218141 Average reward against random is 1.198

########## Evaluation Against Random - Episode 45000 ##########
Timestep: 3619515 Average reward against random is 2.292

########## Evaluation Against Random - Episode 50000 ##########
Timestep: 4022605 Average reward against random is 2.192

########## Evaluation Against Random - Episode 55000 ##########
Timestep: 4424720 Average reward against random is 0.045

########## Evaluation Against Random - Episode 60000 ##########
Timestep: 4823181 Average reward against random is -2.086

########## Evaluation Against Random - Episode 65000 ##########
Timestep: 5222833 Average reward against random is 0.651

########## Evaluation Against Random - Episode 70000 ##########
Timestep: 5623456 Average reward against random is 1.326

########## Evaluation Against Random - Episode 75000 ##########
Timestep: 6023627 Average reward against random is 0.994

########## Evaluation Against Random - Episode 80000 ##########
Timestep: 6425950 Average reward against random is 0.878

########## Evaluation Against Random - Episode 85000 ##########
Timestep: 6824157 Average reward against random is -2.139

########## Evaluation Against Random - Episode 90000 ##########
Timestep: 7221823 Average reward against random is -2.113

########## Evaluation Against Random - Episode 95000 ##########
Timestep: 7619097 Average reward against random is -2.049
