timestep,reward
79,0.094
879,0.56
1678,1.887
2479,2.203
3284,2.138
4085,2.043
4881,2.306
5675,2.181
6470,2.123
7270,2.14
8069,2.055
8872,2.192
9675,2.012
10473,2.008
11284,1.963
12083,2.232
12885,2.205
13688,2.259
14482,2.052
15276,2.094
16072,2.248
16865,2.303
17665,2.153
18469,2.092
19271,2.024
20069,2.195
20875,2.151
21676,2.188
22471,2.046
23266,2.124
24061,2.008
24863,2.052
25660,2.065
26466,2.178
27269,2.24
28067,2.182
28861,2.063
29659,2.007
30457,2.183
31253,2.07
32047,2.09
32844,2.064
33643,2.187
34449,2.248
35250,2.059
36046,2.06
36849,2.094
37645,2.02
38444,2.172
39244,2.218
40035,2.244
40835,1.988
41639,2.232
42437,2.366
43231,2.095
44034,2.28
44834,2.085
45638,2.179
46436,1.908
47233,2.102
48026,2.258
48835,2.132
49638,2.048
