timestep,reward
79,-0.736
80154,0.095
160363,-0.246
240530,-0.52
320642,0.984
400761,1.172
480847,1.711
560869,1.712
640858,1.78
720940,2.386
800998,2.456
881139,2.505
961189,2.388
1041396,2.501
1121594,2.38
1201786,2.392
1281920,2.405
1362226,2.126
1442494,2.583
1522692,2.463
1602883,2.469
1683118,2.655
1763316,2.605
1843386,2.526
1923501,2.401
2003556,2.298
2083667,2.526
2163919,2.525
2243978,2.573
2324052,2.465
2404083,2.532
2484176,1.906
2564457,2.405
2644630,2.426
2724688,2.32
2804672,2.406
2884590,2.445
2964765,2.42
3044982,2.513
3125055,2.291
3205213,1.927
3285319,2.256
3365398,2.125
3445517,2.37
3525728,1.854
3605850,1.97
3686011,2.457
3766160,2.04
3846224,2.471
3926361,2.145
4006444,2.118
4086535,2.026
4166663,2.495
4246816,2.327
4326916,2.577
4407198,2.522
4487306,2.488
4567477,2.435
4647607,2.264
4727833,2.191
4808017,2.517
4888080,2.239
4968183,2.369
5048308,2.308
5128395,1.238
5208613,2.18
5288860,2.336
5369080,2.064
5449316,2.124
5529461,2.458
5609703,1.952
5690028,2.314
5770151,2.515
5850301,2.38
