episode,reward
0,-0.064
100,0.216
200,-0.251
300,0.01
400,-0.301
500,-0.09
600,-0.392
700,-0.591
800,-0.245
900,-0.126
1000,0.003
1100,-0.286
1200,-0.36
1300,-0.022
1400,-0.071
1500,0.019
1600,-0.116
1700,-0.084
1800,-0.484
1900,-0.165
2000,-0.169
2100,0.027
2200,0.033
2300,-0.078
2400,-0.285
2500,-0.107
2600,0.15
2700,0.291
2800,0.179
2900,0.16
3000,0.124
3100,-0.017
3200,0.3
3300,-0.208
3400,0.371
3500,-0.161
3600,-0.137
3700,-0.099
3800,0.122
3900,0.279
4000,-0.089
4100,0.286
4200,0.391
4300,0.15
4400,0.214
4500,0.135
4600,0.19
4700,0.025
4800,-0.139
4900,-0.122
5000,-0.159
5100,0.165
5200,-0.046
5300,-0.138
5400,0.181
5500,-0.303
5600,-0.116
5700,0.102
5800,0.085
5900,0.055
6000,-0.137
6100,-0.097
6200,-0.155
6300,-0.043
6400,0.035
6500,-0.164
6600,-0.049
6700,-0.364
6800,0.144
6900,0.024
7000,0.149
7100,0.22
7200,0.345
7300,-0.038
7400,-0.011
7500,-0.288
7600,-0.015
7700,0.208
7800,0.349
7900,-0.128
8000,0.167
8100,0.118
8200,-0.31
8300,-0.152
8400,0.243
8500,0.338
8600,-0.123
8700,0.094
8800,-0.177
8900,0.034
9000,0.121
9100,0.009
9200,0.031
9300,0.178
9400,-0.123
9500,0.2
9600,0.286
9700,0.126
9800,-0.122
9900,0.021
10000,0.176
10100,0.118
10200,0.049
10300,-0.005
10400,-0.134
10500,-0.005
10600,-0.22
10700,0.043
10800,0.087
10900,-0.093
11000,-0.086
11100,0.437
11200,-0.16
11300,0.201
11400,0.194
11500,-0.243
11600,0.011
11700,-0.309
11800,0.123
11900,-0.161
12000,0.021
12100,-0.195
12200,0.172
12300,-0.351
12400,0.073
12500,-0.189
12600,0.246
12700,0.167
12800,-0.011
12900,-0.226
13000,-0.329
13100,0.047
13200,0.261
13300,-0.054
13400,-0.201
13500,-0.103
13600,-0.181
13700,-0.006
13800,0.17
13900,0.397
14000,0.025
14100,0.239
14200,0.021
14300,-0.078
14400,0.007
14500,-0.242
14600,-0.454
14700,-0.108
14800,-0.038
14900,-0.029
15000,0.201
15100,-0.142
15200,0.051
15300,0.204
15400,0.093
15500,-0.054
15600,0.032
15700,0.002
15800,-0.399
15900,-0.091
16000,0.404
