game_id,hand_value,nb_bouts,nb_bouts_dog,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
35,18.0,0,0,0,0,29.0,0,-1
35,24.0,2,0,1,1,33.0,3,3
35,27.0,1,0,0,0,23.0,0,-1
36,19.0,1,1,0,0,12.0,1,2
36,19.0,0,1,1,1,37.0,0,-6
36,26.0,1,1,0,0,12.0,1,2
36,20.0,0,1,0,0,24.0,1,2
37,25.0,2,0,0,0,15.0,1,2
37,14.0,0,0,1,1,32.0,1,-6
37,25.0,0,0,0,0,26.0,0,2
37,24.0,1,0,0,0,10.0,1,2
38,19.0,1,0,0,0,12.0,2,5
38,21.0,1,0,0,0,9.0,0,5
38,25.0,1,0,1,1,10.0,1,-15
38,19.0,0,0,0,0,56.0,0,5
39,17.0,0,0,0,0,9.0,0,3
39,22.0,1,0,1,1,30.0,1,-9
39,25.0,2,0,0,0,15.0,2,3
39,21.0,0,0,0,0,32.0,0,3
40,24.0,2,0,0,0,31.0,2,5
40,16.0,0,0,0,0,22.0,0,5
40,22.0,0,0,1,1,14.0,0,-15
40,26.0,1,0,0,0,17.0,1,5
41,16.0,0,0,0,0,13.0,1,3
41,22.0,0,0,0,0,17.0,0,3
41,27.0,1,0,1,1,24.0,1,-9
41,21.0,2,0,0,0,34.0,1,3
42,20.0,1,1,0,0,21.0,2,5
42,23.0,0,1,1,1,11.0,0,-15
42,21.0,1,1,0,0,30.0,1,5
42,17.0,0,1,0,0,21.0,0,5
43,24.0,1,1,0,0,23.0,1,-1
43,15.0,1,1,0,0,8.0,1,-1
43,17.0,0,1,1,1,46.0,1,3
43,17.0,0,1,0,0,4.0,0,-1
44,24.0,0,1,0,0,12.0,0,-1
44,12.0,0,1,0,0,2.0,0,-1
44,18.0,0,1,1,1,49.0,2,3
44,27.0,2,1,0,0,21.0,1,-1
45,24.0,0,1,0,0,12.0,0,-1
45,14.0,1,1,1,1,40.0,3,3
45,19.0,0,1,0,0,20.0,0,-1
45,27.0,1,1,0,0,15.0,0,-1
46,25.0,1,0,0,0,22.0,0,4
46,26.0,1,0,0,0,26.0,2,4
46,19.0,1,0,0,0,19.0,1,4
46,12.0,0,0,1,1,18.0,0,-12
47,18.0,0,0,0,0,24.0,1,3
47,29.0,2,0,1,1,30.0,1,-9
47,22.0,1,0,0,0,19.0,1,3
47,15.0,0,0,0,0,15.0,0,3
48,16.0,0,1,0,0,12.0,0,5
48,13.0,0,1,1,1,15.0,0,-15
48,27.0,2,1,0,0,22.0,2,5
48,28.0,0,1,0,0,39.0,1,5
49,28.0,1,0,0,0,24.0,1,4
49,18.0,0,0,1,1,26.0,0,-12
49,19.0,2,0,0,0,28.0,2,4
49,23.0,0,0,0,0,10.0,0,4
50,20.0,1,0,0,0,41.0,1,5
50,23.0,1,0,0,0,20.0,2,5
50,22.0,0,0,0,0,11.0,0,5
50,21.0,1,0,1,1,13.0,0,-15
51,14.0,0,0,1,1,2.0,0,-18
51,25.0,1,0,0,0,12.0,0,6
51,21.0,0,0,0,0,43.0,1,6
51,22.0,2,0,0,0,25.0,2,6
52,25.0,1,0,0,0,17.0,1,1
52,15.0,1,0,1,1,36.0,2,-3
52,20.0,1,0,0,0,0,0,1
52,24.0,0,0,0,0,33.0,0,1
53,17.0,0,1,0,0,15.0,0,4
53,27.0,1,1,0,0,22.0,2,4
53,19.0,1,1,1,1,18.0,1,-12
53,18.0,0,1,0,0,31.0,0,4
54,17.0,0,1,0,0,9.0,0,2
54,27.0,2,1,1,1,29.0,2,-6
54,24.0,0,1,0,0,28.0,1,2
54,14.0,0,1,0,0,20.0,0,2
55,26.0,0,0,0,0,24.0,0,3
55,12.0,0,0,1,1,26.0,1,-9
55,18.0,2,0,0,0,27.0,2,3
55,27.0,1,0,0,0,8.0,0,3
56,11.0,0,1,0,0,0,0,-1
56,18.0,0,1,0,0,8.0,0,-1
56,28.0,1,1,1,1,54.0,1,3
56,24.0,1,1,0,0,25.0,2,-1
57,14.0,0,0,0,0,5.0,0,2
57,20.0,1,0,1,1,31.0,2,-6
57,30.0,1,0,0,0,25.0,1,2
57,20.0,1,0,0,0,26.0,0,2
58,22.0,0,1,0,0,17.0,0,1
58,28.0,1,1,0,0,24.0,1,1
58,19.0,0,1,0,0,9.0,0,1
58,13.0,1,1,1,1,38.0,2,-3
59,18.0,1,0,0,0,4.0,0,3
59,26.0,1,0,0,0,33.0,2,3
59,21.0,1,0,1,1,22.0,1,-9
59,22.0,0,0,0,0,26.0,0,3
60,23.0,0,0,0,0,3.0,0,4
60,13.0,0,0,1,1,20.0,0,-12
60,11.0,0,0,0,0,30.0,1,4
60,37.0,3,0,0,0,34.0,2,4
61,16.0,0,0,0,0,14.0,0,4
61,29.0,2,0,0,0,38.0,1,4
61,27.0,1,0,1,1,13.0,1,-12
61,16.0,0,0,0,0,19.0,1,4
62,20.0,0,1,1,1,33.0,0,-9
62,25.0,2,1,0,0,20.0,3,3
62,21.0,0,1,0,0,18.0,0,3
62,13.0,0,1,0,0,13.0,0,3
63,27.0,1,0,0,0,27.0,1,6
63,17.0,1,0,0,0,4.0,0,6
63,16.0,0,0,1,1,4.0,0,-18
63,25.0,1,0,0,0,47.0,2,6
64,25.0,0,0,0,0,25.0,0,4
64,13.0,0,0,1,1,21.0,0,-12
64,24.0,1,0,0,0,26.0,2,4
64,25.0,2,0,0,0,14.0,1,4
65,29.0,1,0,0,0,19.0,1,3
65,13.0,0,0,0,0,24.0,1,3
65,17.0,2,0,1,1,25.0,1,-9
65,21.0,0,0,0,0,16.0,0,3
66,20.0,0,0,0,0,7.0,0,3
66,24.0,2,0,1,1,28.0,1,-9
66,19.0,1,0,0,0,37.0,2,3
66,21.0,0,0,0,0,13.0,0,3
67,16.0,1,0,1,1,31.0,1,-9
67,24.0,2,0,0,0,27.0,2,3
67,23.0,0,0,0,0,7.0,0,3
67,19.0,0,0,0,0,20.0,0,3
68,22.0,1,0,0,0,23.0,1,3
68,16.0,0,0,1,1,31.0,1,-9
68,25.0,2,0,0,0,22.0,1,3
68,21.0,0,0,0,0,8.0,0,3
69,23.0,0,0,0,0,44.0,0,2
