timestep,reward
80,2.84
4089,-0.18
8106,-0.33
12124,0.54
16140,1.23
20158,1.79
24177,-0.98
28182,0.52
32186,2.5
36212,1.38
40213,-0.55
44220,1.38
48226,1.26
52220,0.49
56230,2.18
60246,2.68
64257,1.56
68266,1.6
72274,2.32
76290,1.49
80301,1.69
84313,1.36
88323,2.89
92334,2.73
96335,2.52
100335,2.4
104332,2.19
108347,2.41
112349,1.93
116351,2.71
120352,2.3
124359,2.41
128376,1.54
132387,2.48
136380,2.67
140393,2.26
144406,1.18
148417,2.61
152427,2.96
156435,2.59
160442,2.04
164446,2.86
168442,3.22
172459,1.62
176479,2.07
180494,2.72
184512,2.24
188522,2.37
192537,1.32
196560,2.25
200576,2.86
204597,2.32
208608,1.68
212612,2.09
216613,2.88
220612,2.91
224612,2.96
228616,1.38
232634,2.78
236632,1.0
240640,1.41
244649,2.25
248649,1.52
252667,2.05
256677,3.2
260679,2.68
264684,1.26
268689,2.29
272698,2.13
276704,2.76
280715,2.28
284736,2.73
288748,0.99
292769,2.45
296784,1.66
300796,2.7
304802,2.92
308815,2.37
312822,2.2
316824,1.61
320840,2.64
324858,2.17
328875,2.59
332882,2.37
336882,1.63
340885,1.92
344891,2.4
348903,2.66
352926,2.91
356932,1.97
360950,1.81
364961,2.43
368963,2.4
372989,2.16
377008,0.39
381030,2.63
385047,3.13
389066,2.78
393070,2.98
397084,1.94
401096,3.44
405121,2.52
409141,1.58
413146,2.68
417144,1.37
421152,2.87
425159,3.0
429163,3.42
433171,1.83
