game_id,hand_value,nb_bouts,nb_bouts_dog,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
0,15.0,0,0,0,0,18.0,0,-10
0,23.0,1,0,0,0,17.0,0,-10
0,22.0,1,0,0,0,23.0,1,-10
0,28.0,1,0,1,1,28.0,2,-18
1,23.0,1,0,0,0,22.0,2,0
1,26.0,1,0,0,0,13.0,1,0
1,20.0,0,0,0,0,13.0,0,0
1,16.0,1,0,1,1,34.0,0,-12
2,16.0,0,1,0,0,17.0,0,-12
2,18.0,0,1,0,0,23.0,0,-12
2,22.0,1,1,0,0,13.0,1,-12
2,25.0,1,1,1,1,30.0,2,-20
3,15.0,0,1,0,0,8.0,0,-4
3,15.0,0,1,0,0,12.0,0,-4
3,27.0,1,1,0,0,17.0,2,-4
3,23.0,1,1,1,1,49.0,1,0
4,15.0,0,2,0,0,7.0,0,-2
4,29.0,1,2,0,0,48.0,2,-2
4,16.0,0,2,0,0,6.0,0,-2
4,17.0,0,2,1,1,24.0,1,-14
5,28.0,1,0,0,0,27.0,1,-3
5,23.0,0,0,0,0,17.0,0,-3
5,16.0,1,0,0,0,13.0,0,-3
5,21.0,1,0,1,1,30.0,2,-11
6,22.0,0,0,0,0,6.0,0,0
6,18.0,1,0,0,0,24.0,0,0
6,21.0,1,0,0,0,21.0,1,0
6,22.0,1,0,1,1,34.0,2,-4
7,16.0,1,1,0,0,14.0,1,3
7,16.0,0,1,0,0,26.0,0,3
7,15.0,0,1,0,0,17.0,1,3
7,31.0,1,1,1,1,23.0,1,-9
8,20.0,0,0,0,0,9.0,0,-7
8,14.0,0,0,0,0,14.0,0,-7
8,24.0,2,0,0,0,6.0,1,-7
8,30.0,1,0,1,1,53.0,2,1
9,18.0,0,0,0,0,12.0,0,-4
9,13.0,0,0,0,0,0,0,-4
9,36.0,3,0,1,1,68.0,3,12
9,14.0,0,0,0,0,2.0,0,-4
10,23.0,1,0,0,0,19.0,1,0
10,25.0,1,0,0,0,16.0,1,0
10,20.0,0,0,0,0,15.0,0,0
10,20.0,1,0,1,1,38.0,1,-8
11,21.0,2,0,0,0,17.0,2,-2
11,15.0,0,0,0,0,19.0,0,-2
11,27.0,1,0,0,0,11.0,1,-2
11,22.0,0,0,1,1,35.0,0,-14
12,29.0,2,1,0,0,11.0,1,-7
12,13.0,0,1,0,0,11.0,0,-7
12,26.0,0,1,0,0,36.0,1,-7
12,16.0,0,1,1,1,27.0,1,-19
13,17.0,1,0,0,0,21.0,1,-6
13,28.0,0,0,0,0,31.0,0,-6
13,21.0,1,0,0,0,18.0,1,-6
13,21.0,1,0,1,1,18.0,1,-22
14,16.0,0,0,0,0,21.0,1,4
14,25.0,1,0,0,0,23.0,1,4
14,22.0,1,0,0,0,14.0,1,4
14,22.0,1,0,1,1,26.0,0,-12
