game_id,hand_value,nb_bouts,nb_bouts_dog,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
0,24.0,2,0,0,0,24.0,1,4
0,17.0,1,0,0,0,25.0,1,4
0,18.0,0,0,0,0,19.0,0,4
0,28.0,0,0,1,1,16.0,1,-12
1,22.0,0,1,0,0,13.0,0,-1
1,22.0,1,1,1,1,44.0,3,3
1,23.0,1,1,0,0,13.0,0,-1
1,17.0,0,1,0,0,18.0,0,-1
2,10.0,0,1,0,0,4.0,0,-1
2,18.0,0,1,0,0,11.0,0,-1
2,24.0,1,1,0,0,28.0,1,-1
2,26.0,1,1,1,1,41.0,2,3
3,29.0,2,0,0,0,42.0,3,5
3,21.0,0,0,0,0,13.0,0,5
3,18.0,1,0,0,0,24.0,0,5
3,15.0,0,0,1,1,7.0,0,-15
4,19.0,0,0,0,0,12.0,0,4
4,34.0,3,0,0,0,46.0,2,4
4,20.0,0,0,0,0,13.0,1,4
4,15.0,0,0,1,1,17.0,0,-12
5,20.0,1,1,0,0,26.0,2,4
5,12.0,0,1,0,0,28.0,0,4
5,24.0,0,1,0,0,11.0,0,4
5,28.0,1,1,1,1,21.0,1,-12
6,14.0,0,1,0,0,23.0,0,2
6,22.0,1,1,0,0,14.0,0,2
6,26.0,1,1,0,0,21.0,1,2
6,18.0,0,1,1,1,28.0,2,-6
7,27.0,1,0,1,1,9.0,0,-15
7,15.0,1,0,0,0,8.0,1,5
7,24.0,1,0,0,0,19.0,1,5
7,15.0,0,0,0,0,43.0,1,5
8,21.0,0,0,1,1,58.0,0,3
8,26.0,1,0,0,0,10.0,2,-1
8,25.0,2,0,0,0,7.0,1,-1
8,16.0,0,0,0,0,10.0,0,-1
9,15.0,1,0,0,0,10.0,1,3
9,20.0,1,0,1,1,22.0,1,-9
9,24.0,1,0,0,0,19.0,1,3
9,28.0,0,0,0,0,34.0,0,3
10,20.0,1,1,0,0,4,1,4
10,18.0,1,1,0,0,36.0,2,4
10,25.0,0,1,0,0,26.0,0,4
10,14.0,0,1,1,1,22.0,0,-12
11,22.0,0,0,1,1,22.0,0,-12
11,21.0,2,0,0,0,17.0,1,4
11,18.0,0,0,0,0,27.0,0,4
11,23.0,1,0,0,0,19.0,2,4
12,19.0,0,1,0,0,17.0,0,2
12,23.0,1,1,0,0,24.0,1,2
12,20.0,1,1,1,1,28.0,2,-6
12,22.0,0,1,0,0,19.0,0,2
13,23.0,0,0,0,0,4.0,0,-3
13,15.0,0,0,0,0,8.0,0,-3
13,24.0,1,0,0,0,10.0,1,-3
13,26.0,2,0,1,1,62.0,2,9
14,19.0,0,1,1,1,38.0,0,-6
14,14.0,0,1,0,0,0,0,2
14,24.0,1,1,0,0,13.0,1,2
14,19.0,1,1,0,0,34.0,2,2
15,29.0,2,1,0,0,38.0,2,1
15,15.0,0,1,0,0,0,0,1
15,9.0,0,1,0,0,4.0,0,1
15,31.0,0,1,1,1,44.0,1,-3
16,25.0,1,0,0,0,29.0,1,2
16,20.0,1,0,0,0,16.0,1,2
16,17.0,0,0,0,0,9.0,0,2
16,26.0,1,0,1,1,32.0,1,-6
17,16.0,0,0,0,0,2.0,0,-4
17,22.0,1,0,0,0,4.0,0,-4
17,16.0,0,0,0,0,13.0,0,-4
17,30.0,2,0,1,1,69.0,3,12
18,21.0,0,1,0,0,24.0,0,-1
18,21.0,1,1,0,0,12.0,1,-1
18,24.0,0,1,0,0,12.0,0,-1
18,16.0,1,1,1,1,40.0,2,3
19,19.0,1,1,0,0,43.0,2,5
19,19.0,1,1,0,0,26.0,1,5
19,21.0,0,1,0,0,4.0,0,5
19,19.0,0,1,1,1,13.0,0,-15
20,23.0,0,1,0,0,3.0,0,-1
20,24.0,1,1,0,0,11.0,1,-1
20,20.0,0,1,0,0,29.0,0,-1
20,17.0,1,1,1,1,42.0,2,3
21,18.0,0,0,0,0,8.0,0,-1
21,36.0,2,0,0,0,23.0,1,-1
21,17.0,0,0,0,0,11.0,0,-1
21,16.0,1,0,1,1,43.0,2,3
22,9.0,0,0,0,0,6.0,0,3
22,22.0,2,0,0,0,21.0,2,3
22,28.0,1,0,0,0,29.0,1,3
22,18.0,0,0,1,1,29.0,0,-9
23,24.0,0,1,1,1,32.0,1,-6
23,18.0,0,1,0,0,12.0,0,2
23,16.0,1,1,0,0,19.0,1,2
23,22.0,1,1,0,0,23.0,1,2
24,15.0,0,0,0,0,21.0,1,2
24,31.0,0,0,1,1,41.0,0,-6
24,13.0,1,0,0,0,0,0,2
24,28.0,2,0,0,0,23.0,2,2
25,35.0,2,0,0,0,62.0,3,5
25,11.0,0,0,1,1,11.0,0,-15
25,18.0,1,0,0,0,12.0,0,5
25,20.0,0,0,0,0,3.0,0,5
26,25.0,1,0,0,0,11.0,0,4
26,17.0,1,0,0,0,30.0,2,4
26,29.0,1,0,0,0,26.0,1,4
26,10.0,0,0,1,1,17.0,0,-12
27,21.0,1,0,1,1,42.0,2,3
27,12.0,0,0,0,0,8.0,0,-1
27,37.0,1,0,0,0,26.0,0,-1
27,18.0,1,0,0,0,11.0,1,-1
