episode,reward
0,1.127
500,2.476
1000,2.3
1500,2.303
2000,2.323
2500,2.464
3000,2.344
3500,2.366
4000,2.332
4500,2.326
5000,2.382
5500,2.532
6000,2.409
6500,2.191
7000,2.313
7500,2.275
8000,2.31
8500,-2.247
9000,2.239
9500,2.227
