hand_value,nb_bouts,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
18.0,0,1,2,11.0,1,-18
24.0,0,1,1,14.0,2,-9
27.0,2,0,0,40.0,2,3
16.0,1,0,0,12.0,1,3
21.0,0,0,0,23.0,1,3
17.0,1,0,0,27.0,1,6
19.0,0,1,2,8.0,0,-18
19.0,0,0,0,15.0,0,6
29.0,1,0,1,29.0,1,6
26.0,0,0,0,33.0,0,4
24.0,2,1,2,19.0,2,-12
16.0,1,0,0,11.0,1,4
18.0,0,0,1,16.0,0,4
20.0,1,0,0,10.0,1,3
20.0,0,0,0,10.0,1,3
17.0,0,0,0,23.0,0,3
25.0,1,1,2,45.0,0,-9
22.0,0,0,1,28.0,1,2
17.0,0,1,2,38.0,2,-6
18.0,1,0,0,13.0,0,2
22.0,0,0,0,15.0,0,2
25.0,0,0,0,12.0,0,4
15.0,1,0,0,24.0,1,4
18.0,0,0,0,10.0,0,4
26.0,1,1,2,29.0,0,-12
18.0,0,0,0,22.0,1,4
22.0,0,0,0,13.0,0,4
15.0,1,0,0,22.0,0,4
29.0,2,1,2,25.0,1,-12
24.0,2,0,1,21.0,1,2
17.0,0,1,2,34.0,2,-6
19.0,0,0,0,11.0,0,2
26.0,0,0,0,21.0,1,2
30.0,2,0,0,31.0,2,5
15.0,0,0,0,26.0,1,5
22.0,1,0,0,14.0,0,5
21.0,0,1,2,16.0,1,-15
21.0,0,0,1,25.0,0,5
17.0,0,1,2,16.0,1,-15
19.0,0,0,0,17.0,0,5
26.0,3,0,0,40.0,4,5
17.0,1,1,2,20.0,0,-15
22.0,1,0,0,27.0,1,5
27.0,0,0,0,21.0,0,5
22.0,1,0,1,17.0,1,5
23.0,1,1,2,24.0,1,-12
20.0,0,0,0,19.0,1,4
23.0,1,0,0,14.0,0,4
21.0,1,0,1,25.0,1,4
20.0,0,0,0,9.0,0,5
26.0,2,0,0,26.0,2,5
18.0,0,1,2,19.0,0,-15
18.0,0,0,1,33.0,0,5
21.0,1,0,0,18.0,1,5
22.0,2,0,0,31.0,2,5
26.0,0,0,0,12.0,0,5
16.0,0,1,2,21.0,0,-15
22.0,1,0,0,20.0,1,2
26.0,1,0,0,24.0,1,2
21.0,1,0,0,14.0,0,2
13.0,0,1,2,33.0,2,-6
17.0,1,0,1,21.0,1,6
21.0,0,1,2,16.0,0,-18
17.0,1,0,0,23.0,2,6
25.0,1,0,0,17.0,1,6
25.0,1,0,0,17.0,0,7
21.0,1,0,0,27.0,1,7
18.0,0,0,0,32.0,1,7
21.0,1,1,2,3.0,0,-21
17.0,0,0,0,16.0,0,5
26.0,0,0,0,16.0,0,5
19.0,2,0,0,38.0,2,5
25.0,1,1,2,16.0,1,-15
16.0,1,0,0,31.0,1,5
25.0,0,0,0,18.0,0,5
17.0,0,0,0,13.0,1,5
21.0,1,1,2,12.0,1,-15
22.0,1,0,0,22.0,1,3
21.0,0,0,0,8.0,0,3
22.0,0,1,1,30.0,0,-9
20.0,1,0,0,21.0,1,3
23.0,0,1,2,6.0,1,-18
19.0,1,0,0,23.0,1,6
16.0,0,0,0,7.0,0,6
25.0,2,0,1,43.0,1,6
26.0,1,0,0,23.0,1,6
23.0,1,0,0,18.0,1,6
17.0,0,0,0,37.0,1,6
14.0,0,1,2,10.0,0,-18
14.0,0,0,0,6.0,0,5
25.0,2,0,0,37.0,2,5
25.0,0,0,0,20.0,0,5
22.0,1,1,2,18.0,0,-15
17.0,1,0,0,25.0,0,2
22.0,0,0,0,15.0,0,2
24.0,2,0,0,17.0,2,2
18.0,0,1,2,28.0,3,-6
26.0,0,0,1,4.0,0,2
14.0,0,0,0,9.0,0,2
21.0,1,1,2,42.0,1,-6
25.0,2,0,0,28.0,2,2
15.0,0,1,2,30.0,1,-12
25.0,1,0,0,22.0,1,4
22.0,0,0,0,24.0,0,4
22.0,0,0,1,7.0,0,4
21.0,0,1,2,6.0,0,-21
19.0,1,0,0,17.0,1,7
27.0,0,0,0,25.0,0,7
19.0,1,0,0,37.0,1,7
37.0,3,1,2,33.0,1,-9
21.0,0,0,0,5.0,0,3
15.0,0,0,0,22.0,0,3
14.0,0,0,1,12.0,0,3
16.0,1,1,2,17.0,1,-15
24.0,1,0,0,28.0,1,5
19.0,0,0,0,18.0,0,5
17.0,1,0,1,17.0,1,5
22.0,1,0,0,25.0,2,4
21.0,0,0,0,19.0,0,4
25.0,0,1,1,23.0,0,-12
17.0,1,0,0,15.0,1,4
21.0,0,0,0,33.0,1,5
24.0,2,0,0,4,1,5
21.0,0,0,0,27.0,0,5
19.0,1,1,2,21.0,1,-15
23.0,1,0,0,28.0,1,5
19.0,0,0,0,16.0,0,5
14.0,0,0,0,19.0,0,5
25.0,1,1,2,14.0,1,-15
18.0,0,1,2,36.0,0,-12
25.0,0,0,0,23.0,1,4
18.0,1,0,0,16.0,1,4
25.0,1,0,1,15.0,1,4
26.0,0,1,2,30.0,1,-12
17.0,0,0,0,5.0,0,4
20.0,1,0,0,15.0,0,4
21.0,1,0,1,21.0,2,4
27.0,1,0,0,25.0,2,-2
20.0,1,0,0,2.0,0,-2
22.0,1,0,0,30.0,1,-2
19.0,0,1,2,38.0,2,6
22.0,1,0,0,37.0,1,4
18.0,0,0,0,2.0,0,4
26.0,1,0,0,32.0,2,4
19.0,0,1,2,21.0,2,-12
18.0,0,1,2,26.0,3,-9
21.0,0,0,0,18.0,0,3
14.0,0,0,0,30.0,0,3
27.0,2,0,1,15.0,1,3
23.0,0,1,2,11.0,1,-18
20.0,1,0,0,21.0,1,6
22.0,1,0,0,19.0,2,6
21.0,1,0,1,30.0,0,6
20.0,0,0,0,33.0,1,4
15.0,0,0,0,5.0,0,4
26.0,2,0,0,17.0,1,4
19.0,0,1,2,31.0,1,-12
22.0,0,0,0,9.0,0,3
31.0,1,1,2,39.0,1,-9
13.0,0,0,0,19.0,0,3
10.0,0,0,0,2.0,0,3
18.0,0,0,0,16.0,1,5
27.0,1,0,0,29.0,1,5
18.0,0,0,0,15.0,0,5
25.0,1,1,2,20.0,0,-15
20.0,0,0,0,22.0,1,4
20.0,2,0,0,17.0,1,4
27.0,1,0,0,10.0,1,4
17.0,0,1,2,31.0,0,-12
18.0,1,0,0,34.0,1,5
19.0,0,0,0,12.0,0,5
25.0,1,0,0,20.0,1,5
22.0,0,1,2,16.0,1,-15
13.0,0,1,2,27.0,2,-9
20.0,1,0,0,13.0,0,3
20.0,1,0,0,13.0,1,3
25.0,1,0,0,38.0,1,3
23.0,0,0,1,27.0,0,6
22.0,2,0,0,25.0,2,6
21.0,1,1,2,13.0,0,-18
22.0,0,0,0,21.0,0,6
20.0,0,0,0,13.0,0,4
21.0,0,1,2,12.0,2,-12
19.0,1,0,0,33.0,1,4
25.0,2,0,1,32.0,2,4
21.0,0,1,2,12.0,1,-15
29.0,2,0,0,35.0,2,5
19.0,0,0,0,14.0,1,5
17.0,0,0,1,17.0,0,5
22.0,0,1,1,23.0,3,-6
18.0,1,0,0,4,1,2
21.0,1,0,0,12.0,0,2
23.0,1,0,0,38.0,0,2
13.0,0,0,0,23.0,0,-2
20.0,0,0,0,8.0,0,-2
21.0,0,1,2,45.0,2,6
33.0,3,0,0,25.0,3,-2
19.0,1,0,0,22.0,1,4
24.0,1,0,0,34.0,1,4
17.0,0,0,0,7.0,0,4
