timestep,reward
79,1.624
8093,1.792
16104,1.9
24095,1.746
32160,2.476
40175,2.452
48185,2.162
56218,2.476
64214,2.362
72269,2.482
80282,2.4
88302,2.026
96313,2.29
104291,2.348
112339,2.402
120366,2.292
128384,2.224
136372,2.428
144404,2.004
152405,2.468
160444,2.458
168446,2.498
176542,2.096
184567,2.376
192581,2.418
200634,2.31
208650,2.296
216683,2.226
224694,2.268
232720,2.382
240715,2.28
248765,2.186
256786,2.566
264791,2.362
272845,2.094
280863,2.34
288900,2.258
296893,2.078
304913,1.76
312956,1.966
320954,1.724
328946,2.14
336954,2.264
344949,2.012
352958,2.322
360955,2.21
368972,1.748
376973,1.836
384981,1.532
392970,2.092
400969,1.602
408992,1.772
417000,1.774
425000,1.854
432993,1.282
440973,1.706
448972,1.89
456995,1.99
464998,1.976
473019,2.064
481035,2.25
489045,2.25
497065,2.53
505057,2.47
513050,2.466
521056,2.306
529047,2.414
537059,2.394
545091,2.344
553100,2.364
561090,2.404
569093,1.904
577081,2.194
585111,2.266
593111,2.388
601105,2.26
609092,2.222
617108,2.412
625138,2.306
633137,2.44
641174,2.32
649174,2.052
657200,2.506
665223,2.34
673228,2.466
681218,2.03
689231,2.33
697208,2.366
705204,2.472
713215,2.378
721204,2.034
729217,1.988
737220,1.97
745238,1.78
753249,1.954
761247,2.188
769246,2.18
777255,1.814
785261,2.004
793287,2.034
