
########## Evaluation Against Last Agent - Episode 100 ##########
Timestep: 8093 Average reward against last agent is 2.464

########## Evaluation Against Last Agent - Episode 200 ##########
Timestep: 16104 Average reward against last agent is 1.804

########## Evaluation Against Last Agent - Episode 300 ##########
Timestep: 24095 Average reward against last agent is 2.366

########## Evaluation Against Last Agent - Episode 400 ##########
Timestep: 32160 Average reward against last agent is 2.432

########## Evaluation Against Last Agent - Episode 500 ##########
Timestep: 40175 Average reward against last agent is 2.456

########## Evaluation Against Last Agent - Episode 600 ##########
Timestep: 48185 Average reward against last agent is 2.114

########## Evaluation Against Last Agent - Episode 700 ##########
Timestep: 56218 Average reward against last agent is 2.152

########## Evaluation Against Last Agent - Episode 800 ##########
Timestep: 64214 Average reward against last agent is 2.144

########## Evaluation Against Last Agent - Episode 900 ##########
Timestep: 72269 Average reward against last agent is 2.324

########## Evaluation Against Last Agent - Episode 1000 ##########
Timestep: 80282 Average reward against last agent is 2.188

########## Evaluation Against Last Agent - Episode 1100 ##########
Timestep: 88302 Average reward against last agent is 2.108

########## Evaluation Against Last Agent - Episode 1200 ##########
Timestep: 96313 Average reward against last agent is 2.28

########## Evaluation Against Last Agent - Episode 1300 ##########
Timestep: 104291 Average reward against last agent is 2.276

########## Evaluation Against Last Agent - Episode 1400 ##########
Timestep: 112339 Average reward against last agent is 1.984

########## Evaluation Against Last Agent - Episode 1500 ##########
Timestep: 120366 Average reward against last agent is 0.16

########## Evaluation Against Last Agent - Episode 1600 ##########
Timestep: 128384 Average reward against last agent is 2.174

########## Evaluation Against Last Agent - Episode 1700 ##########
Timestep: 136372 Average reward against last agent is 1.378

########## Evaluation Against Last Agent - Episode 1800 ##########
Timestep: 144404 Average reward against last agent is 1.846

########## Evaluation Against Last Agent - Episode 1900 ##########
Timestep: 152405 Average reward against last agent is 1.104

########## Evaluation Against Last Agent - Episode 2000 ##########
Timestep: 160444 Average reward against last agent is 2.3

########## Evaluation Against Last Agent - Episode 2100 ##########
Timestep: 168446 Average reward against last agent is 2.868

########## Evaluation Against Last Agent - Episode 2200 ##########
Timestep: 176542 Average reward against last agent is 2.364

########## Evaluation Against Last Agent - Episode 2300 ##########
Timestep: 184567 Average reward against last agent is 1.398

########## Evaluation Against Last Agent - Episode 2400 ##########
Timestep: 192581 Average reward against last agent is 0.774

########## Evaluation Against Last Agent - Episode 2500 ##########
Timestep: 200634 Average reward against last agent is 1.368

########## Evaluation Against Last Agent - Episode 2600 ##########
Timestep: 208650 Average reward against last agent is 0.242

########## Evaluation Against Last Agent - Episode 2700 ##########
Timestep: 216683 Average reward against last agent is 0.364

########## Evaluation Against Last Agent - Episode 2800 ##########
Timestep: 224694 Average reward against last agent is 1.2

########## Evaluation Against Last Agent - Episode 2900 ##########
Timestep: 232720 Average reward against last agent is 0.976

########## Evaluation Against Last Agent - Episode 3000 ##########
Timestep: 240715 Average reward against last agent is 2.382

########## Evaluation Against Last Agent - Episode 3100 ##########
Timestep: 248765 Average reward against last agent is 2.558

########## Evaluation Against Last Agent - Episode 3200 ##########
Timestep: 256786 Average reward against last agent is 2.728

########## Evaluation Against Last Agent - Episode 3300 ##########
Timestep: 264791 Average reward against last agent is -0.498

########## Evaluation Against Last Agent - Episode 3400 ##########
Timestep: 272845 Average reward against last agent is 0.464

########## Evaluation Against Last Agent - Episode 3500 ##########
Timestep: 280863 Average reward against last agent is 2.544

########## Evaluation Against Last Agent - Episode 3600 ##########
Timestep: 288900 Average reward against last agent is 2.092

########## Evaluation Against Last Agent - Episode 3700 ##########
Timestep: 296893 Average reward against last agent is -3.132

########## Evaluation Against Last Agent - Episode 3800 ##########
Timestep: 304913 Average reward against last agent is 2.52

########## Evaluation Against Last Agent - Episode 3900 ##########
Timestep: 312956 Average reward against last agent is 2.398

########## Evaluation Against Last Agent - Episode 4000 ##########
Timestep: 320954 Average reward against last agent is 2.378

########## Evaluation Against Last Agent - Episode 4100 ##########
Timestep: 328946 Average reward against last agent is 2.404

########## Evaluation Against Last Agent - Episode 4200 ##########
Timestep: 336954 Average reward against last agent is -4.08

########## Evaluation Against Last Agent - Episode 4300 ##########
Timestep: 344949 Average reward against last agent is -4.482

########## Evaluation Against Last Agent - Episode 4400 ##########
Timestep: 352958 Average reward against last agent is -1.93

########## Evaluation Against Last Agent - Episode 4500 ##########
Timestep: 360955 Average reward against last agent is 2.334

########## Evaluation Against Last Agent - Episode 4600 ##########
Timestep: 368972 Average reward against last agent is 2.618

########## Evaluation Against Last Agent - Episode 4700 ##########
Timestep: 376973 Average reward against last agent is -3.128

########## Evaluation Against Last Agent - Episode 4800 ##########
Timestep: 384981 Average reward against last agent is 2.266

########## Evaluation Against Last Agent - Episode 4900 ##########
Timestep: 392970 Average reward against last agent is 2.44

########## Evaluation Against Last Agent - Episode 5000 ##########
Timestep: 400969 Average reward against last agent is 2.406

########## Evaluation Against Last Agent - Episode 5100 ##########
Timestep: 408992 Average reward against last agent is -2.64

########## Evaluation Against Last Agent - Episode 5200 ##########
Timestep: 417000 Average reward against last agent is 2.23

########## Evaluation Against Last Agent - Episode 5300 ##########
Timestep: 425000 Average reward against last agent is 2.294

########## Evaluation Against Last Agent - Episode 5400 ##########
