timestep,reward
8093,2.464
16104,1.804
24095,2.366
32160,2.432
40175,2.456
48185,2.114
56218,2.152
64214,2.144
72269,2.324
80282,2.188
88302,2.108
96313,2.28
104291,2.276
112339,1.984
120366,0.16
128384,2.174
136372,1.378
144404,1.846
152405,1.104
160444,2.3
168446,2.868
176542,2.364
184567,1.398
192581,0.774
200634,1.368
208650,0.242
216683,0.364
224694,1.2
232720,0.976
240715,2.382
248765,2.558
256786,2.728
264791,-0.498
272845,0.464
280863,2.544
288900,2.092
296893,-3.132
304913,2.52
312956,2.398
320954,2.378
328946,2.404
336954,-4.08
344949,-4.482
352958,-1.93
360955,2.334
368972,2.618
376973,-3.128
384981,2.266
392970,2.44
400969,2.406
408992,-2.64
417000,2.23
425000,2.294
432993,2.416
440973,2.476
448972,0.908
456995,2.278
464998,2.108
473019,0.848
481035,1.656
489045,2.292
497065,-0.506
505057,2.48
513050,-0.266
521056,0.752
529047,2.072
537059,1.104
545091,2.392
553100,2.426
561090,2.518
569093,2.102
577081,2.326
585111,2.584
593111,2.502
601105,-0.698
609092,2.5
617108,-1.358
625138,-1.536
633137,2.272
641174,2.266
649174,2.432
657200,-2.868
665223,2.672
673228,2.258
681218,2.418
689231,-1.4
697208,1.48
705204,2.492
713215,-0.778
721204,2.586
729217,0.576
737220,-3.518
745238,-2.936
753249,2.604
761247,-4.128
769246,-2.982
777255,-2.656
785261,2.19
793287,-3.248
