timestep,reward
79,0.394
40245,-2.352
80340,-6.664
120389,-6.87
160402,-9.436
200421,-9.734
240403,-9.068
280483,-9.792
320593,-10.516
360736,-6.992
400845,-5.994
441017,-6.14
481135,-6.926
521237,-7.87
561415,2.654
601517,0.614
641614,2.55
681761,2.33
721909,2.512
762060,2.822
802243,1.692
842356,1.782
882509,2.812
922630,3.054
962813,2.766
1002942,2.65
1043115,3.108
1083304,1.53
1123447,1.676
1163603,3.056
1203738,2.92
1243929,2.564
1284131,2.916
1324397,1.324
1364618,2.974
1404805,2.8
1444969,2.82
1485207,1.658
1525422,1.792
1565660,3.07
