
########## Evaluation Against Random - Episode 0 ##########
Timestep: 79 Average reward against random is 0.815

########## Evaluation Against Random - Episode 100 ##########
Timestep: 8071 Average reward against random is 0.592

########## Evaluation Against Random - Episode 200 ##########
Timestep: 16074 Average reward against random is 0.794

########## Evaluation Against Random - Episode 300 ##########
Timestep: 24066 Average reward against random is 0.619

########## Evaluation Against Random - Episode 400 ##########
Timestep: 32059 Average reward against random is 0.661

########## Evaluation Against Random - Episode 500 ##########
Timestep: 40050 Average reward against random is 0.915

########## Evaluation Against Random - Episode 600 ##########
Timestep: 48064 Average reward against random is 0.798

########## Evaluation Against Random - Episode 700 ##########
Timestep: 56055 Average reward against random is 0.658

########## Evaluation Against Random - Episode 800 ##########
Timestep: 64065 Average reward against random is 0.478

########## Evaluation Against Random - Episode 900 ##########
Timestep: 72072 Average reward against random is 0.462

########## Evaluation Against Random - Episode 1000 ##########
Timestep: 80062 Average reward against random is 0.377

########## Evaluation Against Random - Episode 1100 ##########
Timestep: 88060 Average reward against random is 0.84

########## Evaluation Against Random - Episode 1200 ##########
Timestep: 96082 Average reward against random is 0.455

########## Evaluation Against Random - Episode 1300 ##########
Timestep: 104064 Average reward against random is 0.673

########## Evaluation Against Random - Episode 1400 ##########
Timestep: 112076 Average reward against random is 0.533

########## Evaluation Against Random - Episode 1500 ##########
Timestep: 120052 Average reward against random is 0.568

########## Evaluation Against Random - Episode 1600 ##########
Timestep: 128060 Average reward against random is 0.431

########## Evaluation Against Random - Episode 1700 ##########
Timestep: 136033 Average reward against random is 0.852

########## Evaluation Against Random - Episode 1800 ##########
Timestep: 144035 Average reward against random is 0.813

########## Evaluation Against Random - Episode 1900 ##########
Timestep: 152021 Average reward against random is 0.833
