
########## Evaluation Against Last Agent - Episode 0 ##########
Timestep: 79 Average reward against last agent is 1.821

########## Evaluation Against Last Agent - Episode 1000 ##########
Timestep: 80238 Average reward against last agent is -2.509

########## Evaluation Against Last Agent - Episode 2000 ##########
Timestep: 160395 Average reward against last agent is -1.246

########## Evaluation Against Last Agent - Episode 3000 ##########
Timestep: 240630 Average reward against last agent is 2.58

########## Evaluation Against Last Agent - Episode 4000 ##########
Timestep: 320712 Average reward against last agent is -4.726

########## Evaluation Against Last Agent - Episode 5000 ##########
Timestep: 400793 Average reward against last agent is -3.009

########## Evaluation Against Last Agent - Episode 6000 ##########
Timestep: 480964 Average reward against last agent is -1.179

########## Evaluation Against Last Agent - Episode 7000 ##########
Timestep: 560955 Average reward against last agent is 2.423

########## Evaluation Against Last Agent - Episode 8000 ##########
Timestep: 641004 Average reward against last agent is 2.674

########## Evaluation Against Last Agent - Episode 9000 ##########
Timestep: 720999 Average reward against last agent is -5.323

########## Evaluation Against Last Agent - Episode 10000 ##########
Timestep: 801027 Average reward against last agent is 2.414

########## Evaluation Against Last Agent - Episode 11000 ##########
Timestep: 881192 Average reward against last agent is -4.067

########## Evaluation Against Last Agent - Episode 12000 ##########
Timestep: 961447 Average reward against last agent is 0.66

########## Evaluation Against Last Agent - Episode 13000 ##########
Timestep: 1041568 Average reward against last agent is 2.091

########## Evaluation Against Last Agent - Episode 14000 ##########
Timestep: 1121644 Average reward against last agent is -0.502

########## Evaluation Against Last Agent - Episode 15000 ##########
Timestep: 1201743 Average reward against last agent is 2.451

########## Evaluation Against Last Agent - Episode 16000 ##########
Timestep: 1281881 Average reward against last agent is -1.552

########## Evaluation Against Last Agent - Episode 17000 ##########
Timestep: 1362092 Average reward against last agent is -2.075

########## Evaluation Against Last Agent - Episode 18000 ##########
Timestep: 1442271 Average reward against last agent is -5.49

########## Evaluation Against Last Agent - Episode 19000 ##########
Timestep: 1522157 Average reward against last agent is -4.83

########## Evaluation Against Last Agent - Episode 20000 ##########
Timestep: 1602210 Average reward against last agent is -6.853

########## Evaluation Against Last Agent - Episode 21000 ##########
Timestep: 1682091 Average reward against last agent is -4.709

########## Evaluation Against Last Agent - Episode 22000 ##########
Timestep: 1762177 Average reward against last agent is 2.296

########## Evaluation Against Last Agent - Episode 23000 ##########
Timestep: 1842157 Average reward against last agent is -1.265

########## Evaluation Against Last Agent - Episode 24000 ##########
Timestep: 1922256 Average reward against last agent is -2.065
