timestep,reward
79,-0.736
879,-0.989
1678,-1.635
2479,-2.017
3284,-1.954
4085,-1.914
4881,-2.075
5675,-2.186
6470,-1.97
7270,-2.348
8069,-2.15
8872,-2.248
9675,-1.548
10473,-2.075
11284,-1.984
12083,-2.34
12885,-1.864
13688,-2.099
14482,-1.963
15276,-2.013
16072,-2.073
16865,-2.155
17665,-1.644
18469,-2.016
19271,-2.182
20069,-1.936
20875,-2.046
21676,-1.988
22471,-2.223
23266,-2.136
24061,-1.893
24863,-1.942
25660,-2.25
26466,-1.904
27269,-1.981
28067,-1.988
28861,-1.584
29659,-1.806
30457,-2.01
31253,-1.667
32047,-2.168
32844,-1.953
33643,-2.259
34449,-1.985
35250,-2.463
36046,-2.027
36849,-2.014
37645,-1.781
38444,-1.91
39244,-2.101
40035,-1.966
40835,-2.297
41639,-2.656
42437,-2.476
43231,-2.293
44034,-2.352
44834,-1.955
45638,-1.992
46436,-2.227
47233,-1.783
48026,-2.224
48835,-1.685
49638,-1.981
50434,-1.989
