
Timestep: 1993805 Average reward against random is -0.04
Timestep: 1993805 Average reward when taking  is 0.01

########## Evaluation Against Random - Episode 9400 ##########
Timestep: 2039555 Average reward against random is -0.14
Timestep: 2039555 Average reward when taking  is -0.56

########## Evaluation Against Random - Episode 9600 ##########
Timestep: 2079961 Average reward against random is -0.32
Timestep: 2079961 Average reward when taking  is -0.78

########## Evaluation Against Random - Episode 9800 ##########
Timestep: 2119697 Average reward against random is -0.19
Timestep: 2119697 Average reward when taking  is -0.54
