timestep,reward
79,-1.12
477,0.04
879,0.32
1282,-1.6
1682,-0.76
2087,-0.08
2489,-3.56
2892,-0.08
3290,1.88
3695,-1.84
4094,0.4
4499,0.12
4897,-0.84
5294,-0.04
5692,0.0
6095,-2.52
6495,-6.76
6893,-8.96
7292,-6.64
7693,-1.56
8092,-4.08
8495,-1.96
8894,-1.24
9294,-3.84
9702,-0.56
10103,-1.72
10502,-1.08
10906,0.44
11311,-0.56
11713,1.08
12115,1.4
12518,-1.28
12920,3.0
13321,-1.56
13722,-1.64
14125,-1.28
14528,-1.6
14931,-2.64
15335,-1.28
15744,1.96
16153,-4.8
16557,0.48
16961,-3.92
17369,-3.16
17774,-2.16
18181,-1.16
18580,-1.44
18987,0.24
19395,0.88
19799,-1.2
20206,-1.6
20612,-0.92
21014,-3.4
21423,-0.12
21824,-1.48
22223,-2.52
22630,-1.68
23033,-2.4
23436,1.04
23846,-0.88
24261,-3.0
24671,-2.28
25083,-2.84
25489,-0.96
25898,-0.52
26304,-1.64
26710,-0.84
27117,-1.64
27524,-3.16
27923,-1.96
28333,-2.4
28740,-0.76
29156,-0.96
29562,0.56
29969,-2.84
30374,0.04
30776,-1.64
31182,-0.76
31588,1.0
31995,-2.68
32401,-2.0
32810,-1.0
33216,1.32
33621,-0.44
34030,0.56
34440,1.24
34848,-2.44
35255,0.92
35656,-0.4
36059,0.56
36462,0.28
36876,-0.72
37275,1.28
37686,-3.4
38086,1.8
38489,-0.8
38895,-1.24
39296,-1.64
39698,0.08
40104,-3.64
40505,-1.84
40911,-2.52
41315,0.2
41724,-2.92
42132,-1.52
42542,1.0
42946,-2.36
43351,0.48
43752,-0.44
44161,-0.08
44570,2.84
44983,-1.76
45385,0.2
45792,0.96
46197,-1.08
46601,-2.04
47005,-1.04
47408,0.6
47814,0.28
48220,0.52
48626,0.04
49027,-1.16
49435,-1.76
49842,0.24
50252,0.84
