timestep,reward
79,-0.4666666666666667
879,-0.88
1682,-0.7666666666666667
2490,-0.5533333333333333
3291,0.5
4094,-0.47333333333333333
4897,-0.41333333333333333
5695,-0.8066666666666666
6495,0.4866666666666667
7294,-1.5
8097,-1.9466666666666668
8898,-2.06
9710,-1.8666666666666667
10522,-1.14
11334,-1.3133333333333332
12146,-1.0866666666666667
12950,-3.3533333333333335
13747,-3.433333333333333
14545,-3.7666666666666666
15343,-3.62
16145,-3.1466666666666665
16947,-2.8733333333333335
17760,-3.1
18571,-3.3133333333333335
19382,-3.36
20198,-2.6666666666666665
21019,-2.546666666666667
21839,-3.1933333333333334
22644,-3.2733333333333334
23450,-1.38
24259,-1.74
25067,-1.6466666666666667
25868,-1.88
26664,-0.94
27463,-2.5733333333333333
