episode,reward
0,-6.167
500,-7.039
1000,-6.709
1500,-6.939
2000,-7.112
2500,-7.077
3000,-2.814
3500,-4.978
4000,-7.815
4500,-7.143
5000,2.377
5500,2.361
6000,2.329
6500,2.245
7000,-7.146
7500,2.39
8000,-7.233
8500,-6.942
9000,-6.24
9500,2.499
10000,2.363
10500,-0.348
11000,-7.374
11500,2.419
12000,2.253
12500,2.25
13000,2.304
13500,-6.75
14000,-0.604
14500,2.389
15000,2.338
15500,-7.329
16000,-6.74
16500,2.392
17000,2.4
17500,2.092
18000,0.462
18500,1.273
19000,2.424
19500,1.466
20000,2.281
20500,-6.478
21000,-7.689
21500,2.241
22000,2.399
22500,-7.077
23000,-3.341
23500,2.408
24000,2.444
24500,2.403
25000,2.494
25500,2.364
26000,2.414
26500,-7.008
27000,0.765
27500,-6.534
28000,-2.052
28500,2.308
29000,0.906
29500,-6.862
30000,-7.503
30500,-5.718
31000,-5.724
31500,2.117
