
########## Evaluation Against Random - Episode 0 ##########
Timestep: 0 Average reward against random is 1.222

########## Evaluation Against Random - Episode 100 ##########
Timestep: 8016 Average reward against random is 0.193

########## Evaluation Against Random - Episode 200 ##########
Timestep: 15980 Average reward against random is 0.247

########## Evaluation Against Random - Episode 300 ##########
Timestep: 23975 Average reward against random is 2.412

########## Evaluation Against Random - Episode 400 ##########
Timestep: 31959 Average reward against random is 2.418

########## Evaluation Against Random - Episode 500 ##########
Timestep: 39936 Average reward against random is 2.464

########## Evaluation Against Random - Episode 600 ##########
Timestep: 47936 Average reward against random is 2.342

########## Evaluation Against Random - Episode 700 ##########
Timestep: 55922 Average reward against random is 2.387

########## Evaluation Against Random - Episode 800 ##########
Timestep: 63919 Average reward against random is 2.308

########## Evaluation Against Random - Episode 900 ##########
Timestep: 71931 Average reward against random is 2.278

########## Evaluation Against Random - Episode 1000 ##########
Timestep: 79929 Average reward against random is 2.305

########## Evaluation Against Random - Episode 1100 ##########
Timestep: 87918 Average reward against random is 2.3

########## Evaluation Against Random - Episode 1200 ##########
Timestep: 95928 Average reward against random is 2.287

########## Evaluation Against Random - Episode 1300 ##########
Timestep: 103926 Average reward against random is 2.188

########## Evaluation Against Random - Episode 1400 ##########
Timestep: 111927 Average reward against random is 2.359

########## Evaluation Against Random - Episode 1500 ##########
Timestep: 119945 Average reward against random is 2.318

########## Evaluation Against Random - Episode 1600 ##########
Timestep: 127936 Average reward against random is 2.301

########## Evaluation Against Random - Episode 1700 ##########
Timestep: 135953 Average reward against random is 2.26

########## Evaluation Against Random - Episode 1800 ##########
Timestep: 143953 Average reward against random is 2.395

########## Evaluation Against Random - Episode 1900 ##########
Timestep: 151959 Average reward against random is 2.297

########## Evaluation Against Random - Episode 2000 ##########
Timestep: 159975 Average reward against random is 2.396

########## Evaluation Against Random - Episode 2100 ##########
Timestep: 167959 Average reward against random is 2.425

########## Evaluation Against Random - Episode 2200 ##########
Timestep: 175952 Average reward against random is 2.229

########## Evaluation Against Random - Episode 2300 ##########
Timestep: 183935 Average reward against random is 2.231

########## Evaluation Against Random - Episode 2400 ##########
Timestep: 191943 Average reward against random is 2.27

########## Evaluation Against Random - Episode 2500 ##########
Timestep: 199964 Average reward against random is 2.252

########## Evaluation Against Random - Episode 2600 ##########
Timestep: 207966 Average reward against random is 2.359

########## Evaluation Against Random - Episode 2700 ##########
Timestep: 215952 Average reward against random is 2.218

########## Evaluation Against Random - Episode 2800 ##########
Timestep: 223958 Average reward against random is 2.107

########## Evaluation Against Random - Episode 2900 ##########
Timestep: 231957 Average reward against random is 2.425

########## Evaluation Against Random - Episode 3000 ##########
Timestep: 239965 Average reward against random is 2.219

########## Evaluation Against Random - Episode 3100 ##########
Timestep: 247976 Average reward against random is 2.46

########## Evaluation Against Random - Episode 3200 ##########
Timestep: 255962 Average reward against random is 2.394

########## Evaluation Against Random - Episode 3300 ##########
Timestep: 263952 Average reward against random is 2.424

########## Evaluation Against Random - Episode 3400 ##########
Timestep: 271952 Average reward against random is 2.348

########## Evaluation Against Random - Episode 3500 ##########
Timestep: 279941 Average reward against random is 2.319

########## Evaluation Against Random - Episode 3600 ##########
Timestep: 287959 Average reward against random is 2.343

########## Evaluation Against Random - Episode 3700 ##########
Timestep: 295946 Average reward against random is 2.378

########## Evaluation Against Random - Episode 3800 ##########
Timestep: 303957 Average reward against random is 2.232

########## Evaluation Against Random - Episode 3900 ##########
Timestep: 311973 Average reward against random is 2.388

########## Evaluation Against Random - Episode 4000 ##########
Timestep: 319978 Average reward against random is 2.3

########## Evaluation Against Random - Episode 4100 ##########
Timestep: 327992 Average reward against random is 2.259
