timestep,reward
80,0.552
40222,0.81
80324,1.467
120329,0.535
160346,0.114
200342,0.631
240302,0.432
280225,0.252
320166,-0.105
360133,0.407
400067,0.133
439999,0.637
479920,0.103
519873,0.205
559837,0.205
599792,0.139
639726,0.309
679632,0.443
719548,-0.224
759493,0.284
799402,0.349
839284,0.296
879196,0.682
919103,0.398
958988,0.318
998862,0.641
1038724,0.902
1078591,1.009
1118504,1.758
1158405,0.937
1198313,0.364
1238204,1.11
1278110,1.113
1318018,0.242
1357925,0.718
1397830,0.598
1437716,0.544
1477635,1.242
1517549,1.728
1557471,0.294
1597412,1.073
1637332,0.615
1677279,0.589
1717201,0.822
1757130,0.659
1797025,0.65
1836940,1.037
1876866,0.604
1916801,0.312
