
########## Evaluation Against Random - Episode 0 ##########
Timestep: 0 Average reward against random is 0.909

########## Evaluation Against Random - Episode 100 ##########
Timestep: 8022 Average reward against random is 1.303

########## Evaluation Against Random - Episode 200 ##########
Timestep: 16015 Average reward against random is 1.369

########## Evaluation Against Random - Episode 300 ##########
Timestep: 24043 Average reward against random is 1.341

########## Evaluation Against Random - Episode 400 ##########
Timestep: 32057 Average reward against random is 1.411

########## Evaluation Against Random - Episode 500 ##########
Timestep: 40073 Average reward against random is 1.65

########## Evaluation Against Random - Episode 600 ##########
Timestep: 48073 Average reward against random is 1.307

########## Evaluation Against Random - Episode 700 ##########
Timestep: 56058 Average reward against random is 1.043

########## Evaluation Against Random - Episode 800 ##########
Timestep: 64083 Average reward against random is 1.284

########## Evaluation Against Random - Episode 900 ##########
Timestep: 72068 Average reward against random is 1.561

########## Evaluation Against Random - Episode 1000 ##########
Timestep: 80075 Average reward against random is 1.662

########## Evaluation Against Random - Episode 1100 ##########
Timestep: 88079 Average reward against random is 1.34

########## Evaluation Against Random - Episode 1200 ##########
Timestep: 96063 Average reward against random is 1.407

########## Evaluation Against Random - Episode 1300 ##########
Timestep: 104048 Average reward against random is 1.315

########## Evaluation Against Random - Episode 1400 ##########
Timestep: 112016 Average reward against random is 1.427

########## Evaluation Against Random - Episode 1500 ##########
Timestep: 120016 Average reward against random is 1.554

########## Evaluation Against Random - Episode 1600 ##########
Timestep: 128004 Average reward against random is 1.289

########## Evaluation Against Random - Episode 1700 ##########
Timestep: 135985 Average reward against random is 1.516

########## Evaluation Against Random - Episode 1800 ##########
Timestep: 143989 Average reward against random is 1.438

########## Evaluation Against Random - Episode 1900 ##########
Timestep: 151991 Average reward against random is 1.33

########## Evaluation Against Random - Episode 2000 ##########
Timestep: 159988 Average reward against random is 1.409

########## Evaluation Against Random - Episode 2100 ##########
Timestep: 167968 Average reward against random is 1.445

########## Evaluation Against Random - Episode 2200 ##########
Timestep: 175964 Average reward against random is 1.384

########## Evaluation Against Random - Episode 2300 ##########
Timestep: 183982 Average reward against random is 1.342

########## Evaluation Against Random - Episode 2400 ##########
Timestep: 191992 Average reward against random is 1.51

########## Evaluation Against Random - Episode 2500 ##########
Timestep: 199994 Average reward against random is 1.493

########## Evaluation Against Random - Episode 2600 ##########
Timestep: 207994 Average reward against random is 1.258

########## Evaluation Against Random - Episode 2700 ##########
Timestep: 215991 Average reward against random is 1.49

########## Evaluation Against Random - Episode 2800 ##########
Timestep: 223985 Average reward against random is 0.523

########## Evaluation Against Random - Episode 2900 ##########
Timestep: 231986 Average reward against random is 0.291

########## Evaluation Against Random - Episode 3000 ##########
Timestep: 239972 Average reward against random is 0.345

########## Evaluation Against Random - Episode 3100 ##########
Timestep: 247968 Average reward against random is 0.209

########## Evaluation Against Random - Episode 3200 ##########
Timestep: 255964 Average reward against random is 0.617

########## Evaluation Against Random - Episode 3300 ##########
Timestep: 263975 Average reward against random is 0.803

########## Evaluation Against Random - Episode 3400 ##########
Timestep: 271976 Average reward against random is 1.113

########## Evaluation Against Random - Episode 3500 ##########
Timestep: 279974 Average reward against random is 0.681

########## Evaluation Against Random - Episode 3600 ##########
Timestep: 287967 Average reward against random is 0.919

########## Evaluation Against Random - Episode 3700 ##########
Timestep: 295940 Average reward against random is 0.896

########## Evaluation Against Random - Episode 3800 ##########
Timestep: 303944 Average reward against random is 0.491

########## Evaluation Against Random - Episode 3900 ##########
Timestep: 311931 Average reward against random is 0.757

########## Evaluation Against Random - Episode 4000 ##########
Timestep: 319927 Average reward against random is 0.908

########## Evaluation Against Random - Episode 4100 ##########
Timestep: 327932 Average reward against random is 0.885

########## Evaluation Against Random - Episode 4200 ##########
Timestep: 335924 Average reward against random is 0.632

########## Evaluation Against Random - Episode 4300 ##########
Timestep: 343929 Average reward against random is 0.999

########## Evaluation Against Random - Episode 4400 ##########
Timestep: 351942 Average reward against random is 0.91

########## Evaluation Against Random - Episode 4500 ##########
Timestep: 359940 Average reward against random is 1.292

########## Evaluation Against Random - Episode 4600 ##########
Timestep: 367955 Average reward against random is 0.594

########## Evaluation Against Random - Episode 4700 ##########
Timestep: 375946 Average reward against random is 1.31

########## Evaluation Against Random - Episode 4800 ##########
Timestep: 383955 Average reward against random is 1.049

########## Evaluation Against Random - Episode 4900 ##########
Timestep: 391983 Average reward against random is 1.197

########## Evaluation Against Random - Episode 5000 ##########
Timestep: 399965 Average reward against random is 1.298

########## Evaluation Against Random - Episode 5100 ##########
Timestep: 407978 Average reward against random is 0.217

########## Evaluation Against Random - Episode 5200 ##########
Timestep: 415985 Average reward against random is 0.962

########## Evaluation Against Random - Episode 5300 ##########
Timestep: 423994 Average reward against random is 1.116

########## Evaluation Against Random - Episode 5400 ##########
Timestep: 431996 Average reward against random is 1.508

########## Evaluation Against Random - Episode 5500 ##########
Timestep: 440016 Average reward against random is 0.916

########## Evaluation Against Random - Episode 5600 ##########
Timestep: 448018 Average reward against random is 1.169

########## Evaluation Against Random - Episode 5700 ##########
Timestep: 456004 Average reward against random is 1.29

########## Evaluation Against Random - Episode 5800 ##########
