episode,reward
0,0.909
100,1.303
200,1.369
300,1.341
400,1.411
500,1.65
600,1.307
700,1.043
800,1.284
900,1.561
1000,1.662
1100,1.34
1200,1.407
1300,1.315
1400,1.427
1500,1.554
1600,1.289
1700,1.516
1800,1.438
1900,1.33
2000,1.409
2100,1.445
2200,1.384
2300,1.342
2400,1.51
2500,1.493
2600,1.258
2700,1.49
2800,0.523
2900,0.291
3000,0.345
3100,0.209
3200,0.617
3300,0.803
3400,1.113
3500,0.681
3600,0.919
3700,0.896
3800,0.491
3900,0.757
4000,0.908
4100,0.885
4200,0.632
4300,0.999
4400,0.91
4500,1.292
4600,0.594
4700,1.31
4800,1.049
4900,1.197
5000,1.298
5100,0.217
5200,0.962
5300,1.116
5400,1.508
5500,0.916
5600,1.169
5700,1.29
5800,1.554
5900,1.855
6000,1.565
6100,1.162
6200,1.637
6300,1.13
6400,1.204
6500,1.102
6600,0.755
6700,1.107
6800,1.186
6900,1.003
7000,1.409
7100,1.439
7200,1.072
7300,1.179
7400,1.233
7500,1.131
7600,1.068
7700,1.071
7800,0.32
7900,0.693
8000,0.365
8100,2.076
8200,0.819
8300,0.68
8400,1.515
8500,0.692
8600,1.307
8700,0.993
8800,1.444
8900,1.163
9000,1.446
9100,1.327
9200,1.252
9300,1.598
9400,2.034
9500,1.279
9600,1.283
9700,1.198
9800,1.146
9900,0.578
10000,1.104
10100,1.015
10200,1.423
10300,0.589
10400,1.063
10500,0.957
10600,0.632
10700,1.383
10800,0.973
10900,1.056
11000,1.07
11100,2.03
11200,1.469
11300,1.139
11400,1.861
11500,1.295
11600,1.614
11700,1.645
11800,1.65
11900,1.136
12000,2.47
12100,1.415
12200,1.712
12300,1.959
12400,2.125
12500,1.988
12600,2.235
12700,1.847
