timestep,reward
79,1.719
40107,1.186
80109,1.428
120140,1.61
160172,1.259
200186,1.454
240143,1.31
280113,1.318
320118,1.188
360103,1.189
400119,1.25
440131,1.332
480194,1.36
520183,1.074
560173,2.455
600151,2.465
640122,2.616
680146,2.597
720152,1.37
760135,1.219
800126,1.568
840170,1.223
880139,1.296
920194,1.224
960201,1.542
1000251,1.087
1040249,1.363
1080249,1.392
1120249,1.092
1160242,1.456
1200271,2.453
1240260,1.395
1280226,1.065
1320237,1.261
1360248,1.151
1400282,2.404
1440336,2.512
1480336,2.514
1520306,2.567
1560366,2.606
1600464,2.529
1640513,2.456
1680554,2.428
1720579,2.425
1760656,2.531
1800705,2.369
1840812,2.348
1880892,2.372
1920886,2.511
1961000,2.595
2001128,2.552
2041361,2.514
2081403,2.586
2121506,2.554
2161748,2.608
2201977,2.475
2242202,2.568
2282486,2.407
2322704,2.345
2362968,2.538
2403110,2.466
2443294,2.46
2483450,2.444
2523581,2.49
2563829,2.482
2603921,2.373
2643940,2.373
2684015,2.463
2723992,2.604
2763963,2.409
2803986,2.499
2843971,2.545
2883972,2.506
2923916,2.351
2963932,2.449
3003904,2.327
3043691,2.482
3083389,2.601
3123146,2.554
3162941,2.458
3202716,2.461
3242461,2.491
3282216,2.329
3321982,2.415
3361750,2.413
3401511,2.314
3441211,2.412
3481011,2.472
3520827,2.466
3560663,2.352
3600498,2.399
3640345,2.589
3680250,2.485
3720054,2.38
3759923,2.354
3799694,2.408
3839491,2.355
3879190,2.453
3918842,2.435
3958571,2.524
3998365,2.436
4038109,2.45
4077803,2.453
4117476,2.474
4157252,2.413
4196988,2.457
4236701,2.55
4276460,2.446
4316200,2.461
4355929,2.564
4395599,2.36
4435193,2.583
4474772,2.573
4514363,2.523
4553952,2.32
4593595,2.387
4633322,2.461
4672982,2.383
4712728,2.54
4752460,2.547
4792129,2.332
4831751,1.108
4871364,1.226
4911080,1.385
4950844,1.184
4990662,1.031
5030403,0.96
5070208,1.199
5109991,1.513
5149798,1.201
5189472,1.332
5229202,1.268
5268981,1.345
5308798,0.951
5348575,1.178
5388378,1.386
5428129,2.522
5467879,2.485
5507628,2.383
5547458,1.215
5587242,1.161
5626949,1.166
5666600,1.246
5706249,1.17
5745919,1.406
5785624,1.27
5825307,1.138
5864926,1.171
5904499,1.234
5944174,1.268
5984016,1.324
6023999,1.036
6064028,1.281
6103982,1.169
6143836,1.15
6183706,1.102
6223625,1.192
6263486,0.904
6303275,0.923
6343033,1.472
6382895,1.128
6422823,1.203
6462763,1.181
6502715,1.151
6542600,1.078
6582450,1.277
6622393,0.931
6662244,1.387
6702174,2.365
6742118,1.079
6782049,1.368
6821950,1.123
