episode,reward
0,0.182
1000,0.173
2000,-0.302
3000,-0.098
4000,0.207
5000,0.084
6000,-0.108
7000,-0.203
8000,-0.38
9000,0.155
10000,-0.076
11000,-0.292
12000,0.299
13000,-0.31
14000,-0.063
15000,0.199
16000,0.191
17000,-0.284
18000,0.138
19000,0.019
20000,0.091
21000,0.064
22000,0.172
23000,0.123
24000,0.008
25000,0.12
26000,0.045
27000,0.186
28000,-0.016
29000,0.131
30000,0.015
31000,0.147
32000,0.162
33000,0.171
34000,0.109
35000,-0.172
36000,0.132
37000,0.142
38000,0.022
39000,0.024
40000,0.115
41000,0.268
42000,0.088
43000,0.122
44000,-0.034
45000,0.191
46000,0.126
47000,0.138
48000,0.197
49000,0.156
50000,0.034
51000,0.157
52000,0.018
53000,-0.057
54000,0.14
55000,0.008
56000,0.11
57000,0.234
58000,0.017
59000,0.176
60000,0.288
61000,0.196
62000,0.095
63000,0.104
64000,0.147
65000,0.202
66000,-0.087
67000,0.179
68000,0.092
69000,0.169
70000,0.111
71000,0.238
72000,0.042
73000,0.052
74000,0.09
75000,-0.005
76000,0.142
77000,0.016
78000,0.143
79000,0.096
80000,0.208
81000,0.011
82000,0.127
83000,0.101
84000,0.085
85000,0.22
86000,0.086
87000,-0.062
88000,0.054
89000,-0.094
90000,0.127
91000,0.042
92000,0.163
93000,0.038
94000,-0.006
95000,0.176
96000,0.214
97000,0.09
98000,0.07
99000,-0.079
