
########## Evaluation Against Last Agent - Episode 0 ##########
Timestep: 79 Average reward against last agent is 0.209

########## Evaluation Against Last Agent - Episode 500 ##########
Timestep: 40000 Average reward against last agent is -0.138

########## Evaluation Against Last Agent - Episode 1000 ##########
Timestep: 79941 Average reward against last agent is -1.291

########## Evaluation Against Last Agent - Episode 1500 ##########
Timestep: 120187 Average reward against last agent is -2.635

########## Evaluation Against Last Agent - Episode 2000 ##########
Timestep: 160528 Average reward against last agent is 2.371

########## Evaluation Against Last Agent - Episode 2500 ##########
Timestep: 200803 Average reward against last agent is -2.436

########## Evaluation Against Last Agent - Episode 3000 ##########
Timestep: 241158 Average reward against last agent is 2.512

########## Evaluation Against Last Agent - Episode 3500 ##########
Timestep: 281405 Average reward against last agent is -0.43

########## Evaluation Against Last Agent - Episode 4000 ##########
Timestep: 321581 Average reward against last agent is 2.48

########## Evaluation Against Last Agent - Episode 4500 ##########
Timestep: 361808 Average reward against last agent is 2.525

########## Evaluation Against Last Agent - Episode 5000 ##########
Timestep: 402140 Average reward against last agent is -0.773

########## Evaluation Against Last Agent - Episode 5500 ##########
Timestep: 442337 Average reward against last agent is -2.221

########## Evaluation Against Last Agent - Episode 6000 ##########
Timestep: 482309 Average reward against last agent is -4.766

########## Evaluation Against Last Agent - Episode 6500 ##########
Timestep: 522210 Average reward against last agent is -5.393

########## Evaluation Against Last Agent - Episode 7000 ##########
Timestep: 562023 Average reward against last agent is 2.543

########## Evaluation Against Last Agent - Episode 7500 ##########
Timestep: 601893 Average reward against last agent is 0.219

########## Evaluation Against Last Agent - Episode 8000 ##########
Timestep: 641924 Average reward against last agent is -5.235

########## Evaluation Against Last Agent - Episode 8500 ##########
Timestep: 681945 Average reward against last agent is -5.212

########## Evaluation Against Last Agent - Episode 9000 ##########
Timestep: 722085 Average reward against last agent is 1.715

########## Evaluation Against Last Agent - Episode 9500 ##########
Timestep: 762099 Average reward against last agent is 2.543

########## Evaluation Against Last Agent - Episode 10000 ##########
Timestep: 802349 Average reward against last agent is 2.842

########## Evaluation Against Last Agent - Episode 10500 ##########
Timestep: 842579 Average reward against last agent is 2.503

########## Evaluation Against Last Agent - Episode 11000 ##########
Timestep: 882719 Average reward against last agent is 2.69

########## Evaluation Against Last Agent - Episode 11500 ##########
Timestep: 922963 Average reward against last agent is 2.629

########## Evaluation Against Last Agent - Episode 12000 ##########
Timestep: 963252 Average reward against last agent is 2.022

########## Evaluation Against Last Agent - Episode 12500 ##########
Timestep: 1003616 Average reward against last agent is -2.668

########## Evaluation Against Last Agent - Episode 13000 ##########
Timestep: 1043819 Average reward against last agent is 2.37

########## Evaluation Against Last Agent - Episode 13500 ##########
Timestep: 1084086 Average reward against last agent is -1.589

########## Evaluation Against Last Agent - Episode 14000 ##########
Timestep: 1124322 Average reward against last agent is -1.74

########## Evaluation Against Last Agent - Episode 14500 ##########
Timestep: 1164628 Average reward against last agent is 1.27

########## Evaluation Against Last Agent - Episode 15000 ##########
Timestep: 1204825 Average reward against last agent is -1.601

########## Evaluation Against Last Agent - Episode 15500 ##########
Timestep: 1244960 Average reward against last agent is -1.368

########## Evaluation Against Last Agent - Episode 16000 ##########
Timestep: 1285127 Average reward against last agent is 2.471

########## Evaluation Against Last Agent - Episode 16500 ##########
Timestep: 1325358 Average reward against last agent is 1.62

########## Evaluation Against Last Agent - Episode 17000 ##########
Timestep: 1365817 Average reward against last agent is -2.057

########## Evaluation Against Last Agent - Episode 17500 ##########
Timestep: 1406100 Average reward against last agent is -4.295

########## Evaluation Against Last Agent - Episode 18000 ##########
Timestep: 1446516 Average reward against last agent is -2.804

########## Evaluation Against Last Agent - Episode 18500 ##########
Timestep: 1486724 Average reward against last agent is 2.488

########## Evaluation Against Last Agent - Episode 19000 ##########
Timestep: 1527024 Average reward against last agent is -0.195

########## Evaluation Against Last Agent - Episode 19500 ##########
Timestep: 1567205 Average reward against last agent is -0.415

########## Evaluation Against Last Agent - Episode 20000 ##########
Timestep: 1607271 Average reward against last agent is 2.653

########## Evaluation Against Last Agent - Episode 20500 ##########
Timestep: 1647380 Average reward against last agent is 2.444

########## Evaluation Against Last Agent - Episode 21000 ##########
Timestep: 1687425 Average reward against last agent is -3.448

########## Evaluation Against Last Agent - Episode 21500 ##########
Timestep: 1727558 Average reward against last agent is -4.096

########## Evaluation Against Last Agent - Episode 22000 ##########
Timestep: 1767747 Average reward against last agent is -2.097

########## Evaluation Against Last Agent - Episode 22500 ##########
Timestep: 1807785 Average reward against last agent is 2.435

########## Evaluation Against Last Agent - Episode 23000 ##########
Timestep: 1847812 Average reward against last agent is 2.396

########## Evaluation Against Last Agent - Episode 23500 ##########
Timestep: 1887900 Average reward against last agent is 2.379

########## Evaluation Against Last Agent - Episode 24000 ##########
Timestep: 1928024 Average reward against last agent is 2.173

########## Evaluation Against Last Agent - Episode 24500 ##########
Timestep: 1968271 Average reward against last agent is 2.593

########## Evaluation Against Last Agent - Episode 25000 ##########
Timestep: 2008476 Average reward against last agent is -2.162

########## Evaluation Against Last Agent - Episode 25500 ##########
Timestep: 2049055 Average reward against last agent is 2.332

########## Evaluation Against Last Agent - Episode 26000 ##########
Timestep: 2089582 Average reward against last agent is 2.5

########## Evaluation Against Last Agent - Episode 26500 ##########
Timestep: 2130056 Average reward against last agent is -1.22

########## Evaluation Against Last Agent - Episode 27000 ##########
Timestep: 2170445 Average reward against last agent is 2.264

########## Evaluation Against Last Agent - Episode 27500 ##########
Timestep: 2210749 Average reward against last agent is 2.177

########## Evaluation Against Last Agent - Episode 28000 ##########
Timestep: 2250853 Average reward against last agent is 2.714

########## Evaluation Against Last Agent - Episode 28500 ##########
Timestep: 2291005 Average reward against last agent is 2.518

########## Evaluation Against Last Agent - Episode 29000 ##########
Timestep: 2331114 Average reward against last agent is -2.49

########## Evaluation Against Last Agent - Episode 29500 ##########
Timestep: 2371179 Average reward against last agent is -2.573

########## Evaluation Against Last Agent - Episode 30000 ##########
Timestep: 2411250 Average reward against last agent is 2.457

########## Evaluation Against Last Agent - Episode 30500 ##########
Timestep: 2451363 Average reward against last agent is -1.89

########## Evaluation Against Last Agent - Episode 31000 ##########
Timestep: 2491390 Average reward against last agent is 2.5

########## Evaluation Against Last Agent - Episode 31500 ##########
Timestep: 2531495 Average reward against last agent is -1.618

########## Evaluation Against Last Agent - Episode 32000 ##########
Timestep: 2571518 Average reward against last agent is 2.678

########## Evaluation Against Last Agent - Episode 32500 ##########
Timestep: 2611533 Average reward against last agent is 2.571

########## Evaluation Against Last Agent - Episode 33000 ##########
Timestep: 2651540 Average reward against last agent is 2.654

########## Evaluation Against Last Agent - Episode 33500 ##########
Timestep: 2691594 Average reward against last agent is -1.547

########## Evaluation Against Last Agent - Episode 34000 ##########
Timestep: 2731744 Average reward against last agent is 2.456

########## Evaluation Against Last Agent - Episode 34500 ##########
Timestep: 2771834 Average reward against last agent is 2.532

########## Evaluation Against Last Agent - Episode 35000 ##########
Timestep: 2811874 Average reward against last agent is 2.511

########## Evaluation Against Last Agent - Episode 35500 ##########
Timestep: 2851879 Average reward against last agent is 2.551

########## Evaluation Against Last Agent - Episode 36000 ##########
