
########## Evaluation Against Random - Episode 0 ##########
Timestep: 79 Average reward against random is -0.87

########## Evaluation Against Random - Episode 500 ##########
Timestep: 40000 Average reward against random is -1.301

########## Evaluation Against Random - Episode 1000 ##########
Timestep: 79941 Average reward against random is -0.183

########## Evaluation Against Random - Episode 1500 ##########
Timestep: 120187 Average reward against random is 0.424

########## Evaluation Against Random - Episode 2000 ##########
Timestep: 160528 Average reward against random is 1.105

########## Evaluation Against Random - Episode 2500 ##########
Timestep: 200803 Average reward against random is 0.585

########## Evaluation Against Random - Episode 3000 ##########
Timestep: 241158 Average reward against random is 1.288

########## Evaluation Against Random - Episode 3500 ##########
Timestep: 281405 Average reward against random is 1.456

########## Evaluation Against Random - Episode 4000 ##########
Timestep: 321581 Average reward against random is 1.408

########## Evaluation Against Random - Episode 4500 ##########
Timestep: 361808 Average reward against random is 0.86

########## Evaluation Against Random - Episode 5000 ##########
Timestep: 402140 Average reward against random is 1.604

########## Evaluation Against Random - Episode 5500 ##########
Timestep: 442337 Average reward against random is 0.823

########## Evaluation Against Random - Episode 6000 ##########
Timestep: 482309 Average reward against random is -0.996

########## Evaluation Against Random - Episode 6500 ##########
Timestep: 522210 Average reward against random is -1.627

########## Evaluation Against Random - Episode 7000 ##########
Timestep: 562023 Average reward against random is -1.406

########## Evaluation Against Random - Episode 7500 ##########
Timestep: 601893 Average reward against random is -0.862

########## Evaluation Against Random - Episode 8000 ##########
Timestep: 641924 Average reward against random is 1.12

########## Evaluation Against Random - Episode 8500 ##########
Timestep: 681945 Average reward against random is -0.272

########## Evaluation Against Random - Episode 9000 ##########
Timestep: 722085 Average reward against random is -0.293

########## Evaluation Against Random - Episode 9500 ##########
Timestep: 762099 Average reward against random is 1.895

########## Evaluation Against Random - Episode 10000 ##########
Timestep: 802349 Average reward against random is 1.492

########## Evaluation Against Random - Episode 10500 ##########
Timestep: 842579 Average reward against random is 1.01

########## Evaluation Against Random - Episode 11000 ##########
Timestep: 882719 Average reward against random is 2.234

########## Evaluation Against Random - Episode 11500 ##########
Timestep: 922963 Average reward against random is 2.508

########## Evaluation Against Random - Episode 12000 ##########
Timestep: 963252 Average reward against random is 2.421

########## Evaluation Against Random - Episode 12500 ##########
Timestep: 1003616 Average reward against random is 2.134

########## Evaluation Against Random - Episode 13000 ##########
Timestep: 1043819 Average reward against random is 1.689

########## Evaluation Against Random - Episode 13500 ##########
Timestep: 1084086 Average reward against random is 2.187

########## Evaluation Against Random - Episode 14000 ##########
Timestep: 1124322 Average reward against random is 2.245

