timestep,reward
81,0.2,None
8088,3.38,None
16136,3.3,None
24148,0.01,None
32193,2.69,None
40288,2.34,None
48383,-2.42,None
56450,1.14,None
64489,0.57,None
72577,2.33,None
80673,2.89,None
88781,2.86,None
96877,1.77,None
104980,2.65,None
113068,1.98,None
121150,2.36,None
129212,2.36,None
137264,2.96,None
145307,2.49,None
153343,2.3,None
161372,2.6,None
169408,1.89,None
177459,2.51,None
185514,2.69,None
193535,2.61,None
201574,2.44,None
209590,3.18,None
217616,2.84,None
225643,3.08,None
233675,2.59,None
241708,2.72,None
249732,2.62,None
257772,2.88,None
265792,2.86,None
273825,2.12,None
281852,3.13,None
289886,2.7,None
297910,2.97,None
305943,2.04,None
313963,2.59,None
321997,2.04,None
330015,2.21,None
338047,1.2,None
346070,2.82,None
354103,0.78,None
362141,-10.02,None
370152,-11.96,None
378189,-12.69,None
386212,-10.05,None
394229,-10.29,None
402262,2.8,None
410280,2.3,None
418287,3.08,None
426302,2.38,None
434327,2.46,None
442341,2.8,None
450371,2.54,None
458399,1.84,None
466437,2.71,None
474464,2.06,None
482488,2.89,None
490508,2.65,None
498544,2.37,None
506576,2.46,None
514611,2.84,None
522661,2.77,None
530681,2.71,None
538690,2.06,None
546739,2.32,None
554769,2.68,None
562806,2.71,None
570835,2.8,None
578876,2.46,None
586912,2.76,None
594928,2.87,None
602970,2.76,None
610985,2.41,None
619016,2.55,None
627063,2.59,None
635086,2.88,None
643111,2.48,None
651170,2.73,None
659217,2.68,None
667247,2.22,None
675282,2.36,None
683316,2.15,None
691372,2.47,None
699416,2.64,None
707461,2.84,None
715482,3.14,None
723499,2.96,None
731535,3.33,None
739562,2.07,None
747580,2.76,None
755586,2.69,None
763613,2.51,None
771653,2.59,None
779681,2.27,None
787709,2.31,None
795730,2.28,None
