game_id,hand_value,nb_bouts,nb_bouts_dog,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
0,19.0,0,0,1,1,29.0,0,-10
0,23.0,1,0,0,0,35.0,2,2
0,13.0,0,0,0,0,2.0,0,2
0,32.0,2,0,0,0,19.0,1,2
1,19.0,0,2,0,0,0,0,-4
1,19.0,1,2,1,1,54.0,3,4
1,20.0,0,2,0,0,12.0,0,-4
1,22.0,0,2,0,0,20.0,0,-4
2,31.0,2,0,1,1,44.0,2,-1
2,16.0,1,0,0,0,13.0,1,-5
2,25.0,0,0,0,0,17.0,0,-5
2,11.0,0,0,0,0,12.0,0,-5
3,24.0,1,0,1,1,48.0,2,2
3,23.0,1,0,0,0,8.0,0,-2
3,16.0,1,0,0,0,13.0,1,-2
3,21.0,0,0,0,0,17.0,0,-2
4,25.0,1,0,1,1,47.0,1,-7
4,23.0,0,0,0,0,0,0,-3
4,25.0,2,0,0,0,15.0,1,-3
4,15.0,0,0,0,0,26.0,1,-3
5,19.0,0,1,1,1,22.0,1,-9
5,22.0,1,1,0,0,39.0,1,3
5,20.0,0,1,0,0,20.0,0,3
5,16.0,1,1,0,0,4,1,3
6,17.0,0,0,1,1,17.0,1,-13
6,20.0,2,0,0,0,12.0,1,3
6,25.0,1,0,0,0,33.0,1,3
6,21.0,0,0,0,0,25.0,0,3
7,36.0,3,0,1,1,55.0,3,6
7,10.0,0,0,0,0,19.0,0,-2
7,21.0,0,0,0,0,0,0,-2
7,16.0,0,0,0,0,11.0,0,-2
8,23.0,0,1,1,1,17.0,1,-13
8,16.0,0,1,0,0,12.0,0,3
8,24.0,1,1,0,0,15.0,1,3
8,17.0,1,1,0,0,40.0,1,3
9,17.0,1,0,1,1,27.0,1,-11
9,19.0,0,0,0,0,13.0,1,1
9,18.0,1,0,0,0,10.0,0,1
9,34.0,1,0,0,0,35.0,1,1
10,12.0,0,1,0,0,13.0,0,-2
10,14.0,0,1,0,0,4.0,0,-2
10,29.0,1,1,1,1,46.0,2,2
10,25.0,1,1,0,0,22.0,1,-2
11,13.0,0,0,1,1,4.0,0,-18
11,25.0,2,0,0,0,51.0,2,6
11,27.0,0,0,0,0,5.0,0,6
11,23.0,1,0,0,0,25.0,1,6
12,16.0,0,0,1,1,16.0,0,-17
12,23.0,2,0,0,0,21.0,2,3
12,22.0,0,0,0,0,20.0,1,3
12,27.0,1,0,0,0,31.0,0,3
13,37.0,3,0,1,1,42.0,2,-1
13,21.0,0,0,0,0,32.0,0,-5
13,13.0,0,0,0,0,11.0,1,-5
13,17.0,0,0,0,0,0,0,-5
14,25.0,0,1,1,1,25.0,1,-15
14,25.0,1,1,0,0,14.0,0,-3
14,17.0,1,1,0,0,25.0,1,-3
14,13.0,0,1,0,0,21.0,1,-3
15,27.0,1,1,0,0,27.0,1,2
15,15.0,0,1,1,1,34.0,1,-6
