timestep,reward
80,2.755
40222,1.018
80324,1.872
120329,0.897
160346,2.51
200342,1.508
240302,2.174
280225,2.942
320166,3.055
360133,2.789
400067,3.023
439999,2.925
479920,3.039
519873,2.734
559837,2.939
599792,3.029
639726,3.228
679632,2.87
719548,2.721
759493,3.112
799402,3.34
839284,3.564
879196,2.983
919103,3.465
958988,3.014
998862,3.693
1038724,3.486
1078591,3.449
1118504,3.395
1158405,3.054
1198313,2.945
1238204,3.941
1278110,3.152
1318018,2.97
1357925,3.185
1397830,3.271
1437716,3.345
1477635,3.399
1517549,3.254
1557471,2.548
1597412,3.167
1637332,3.068
1677279,3.307
1717201,3.155
1757130,2.96
1797025,2.55
1836940,2.897
1876866,3.417
1916801,3.704
